id,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
10197,10192.0,8.0,163.0,0.05359375,3041.399416909621
10198,10192.0,8.0,2.5,0.00421875,592.5925925925926
10199,10157.0,7.0,3040.0,0.522546875,5817.659898932512
10200,10199.0,8.0,556.5,0.094328125,5899.619016067583
10201,10199.0,8.0,746.0,0.1465625,5089.978678038379
10202,10199.0,8.0,335.0,0.04925,6802.030456852792
10203,10199.0,8.0,862.0,0.143078125,6024.680572239817
10204,10199.0,8.0,489.0,0.075609375,6467.451952882826
10205,10199.0,8.0,51.5,0.01371875,3753.986332574032
10206,10157.0,7.0,2130.5,0.24634375,8648.484079665102
10207,10206.0,8.0,350.0,0.0373125,9380.234505862647
10208,10206.0,8.0,700.5,0.0584375,11987.165775401068
10209,10206.0,8.0,320.0,0.028546875,11209.633278598796
10210,10206.0,8.0,539.0,0.074296875,7254.679284963198
10211,10206.0,8.0,200.5,0.03953125,5071.936758893281
10212,10206.0,8.0,20.5,0.00821875,2494.2965779467677
10213,10157.0,7.0,5101.5,0.64153125,7952.067806517609
10214,10213.0,8.0,1042.5,0.1253125,8319.201995012469
10215,10213.0,8.0,1767.0,0.18690625,9453.937468650727
10216,10213.0,8.0,407.5,0.03025,13471.07438016529
10217,10213.0,8.0,1451.5,0.19259375,7536.5893233814695
10218,10213.0,8.0,415.5,0.09009375,4611.862643080125
10219,10213.0,8.0,17.5,0.016375,1068.7022900763359
10220,10005.0,6.0,32582.0,2.78553125,11696.871108518348
10226,10220.0,7.0,16173.5,1.573359375,10279.59680222454
10227,10226.0,8.0,1353.0,0.306203125,4418.635505434505
10228,10226.0,8.0,4351.5,0.30678125,14184.374045023938
10229,10226.0,8.0,8393.5,0.59771875,14042.557641031002
10230,10226.0,8.0,2052.0,0.3501875,5859.718008209888
10231,10226.0,8.0,23.5,0.01246875,1884.7117794486217
10232,10220.0,7.0,16408.5,1.212171875,13536.44671882855
10233,10232.0,8.0,1244.0,0.239359375,5197.206083948038
10234,10232.0,8.0,5552.5,0.261859375,21204.129124649444
10235,10232.0,8.0,8210.5,0.49821875,16479.708963181332
10236,10232.0,8.0,1300.5,0.181671875,7158.5103638083765
10237,10232.0,8.0,101.0,0.0310625,3251.5090543259557
10238,10005.0,6.0,16204.0,1.20953125,13396.925461826637
10239,10238.0,7.0,2105.0,0.26446875,7959.352475481508
10241,10238.0,7.0,3131.0,0.211390625,14811.442087367876
10242,10238.0,7.0,9172.5,0.490953125,18683.046370261927
10243,10238.0,7.0,1772.5,0.232,7640.086206896551
10244,10238.0,7.0,23.0,0.01071875,2145.7725947521863
10245,10005.0,6.0,4749.5,0.423375,11218.187186300562
10246,10245.0,7.0,302.0,0.077,3922.0779220779223
10248,10245.0,7.0,617.5,0.071515625,8634.476731483504
10249,10245.0,7.0,2649.0,0.166921875,15869.69952260601
10250,10245.0,7.0,1176.0,0.102484375,11474.919957310565
10251,10245.0,7.0,5.0,0.005453125,916.9054441260746
10252,10005.0,6.0,24779.0,2.954953125,8385.581412564708
10258,10252.0,7.0,9165.5,1.363578125,6721.65373729503
10259,10258.0,8.0,572.5,0.187265625,3057.1547768043392
10260,10258.0,8.0,2831.0,0.310640625,9113.424878024245
10261,10258.0,8.0,4538.0,0.60409375,7512.079044022554
10262,10258.0,8.0,1156.0,0.23884375,4839.984299358891
