acronym,change
LGd-sh,298.19819819819804
LGd-co,439.30434782608694
LGd-ip,273.6111111111111
DORpm,105.75282064583067
LAT,333.2612222823147
LP,247.06572769953047
PO,2692.727272727273
POL,92.30769230769235
SGN,118.1609195402299
Eth,547.2222222222223
REth,
ATN,265.4875422946785
AV,206.993006993007
AM,457.01754385964904
AMd,364.92374727668846
AMv,644.8888888888891
AD,396.59090909090907
IAM,113.55932203389827
IAD,174.3169398907104
LD,244.55066921606118
MED,134.9306431273645
IMD,88.31877729257643
MD,186.30668257756562
MDc,
MDl,
MDm,
SMT,-20.39999999999998
PR,563.125
MTN,55.589512626668835
PVT,42.5742574257426
PT,105.47636909227307
RE,63.660477453580896
Xi,103.16957210776545
ILM,99.72708664998865
RH,51.62738496071827
CM,76.61586967945347
PCN,513.7755102040817
CL,635.3383458646615
PF,32.840909090909136
PIL,82.74111675126909
RT,244.64285714285717
GENv,10.299174690508957
IGL,27.035490605427988
IntG,204.03225806451618
LGv,0.4472843450479211
LGvl,
LGvm,
SubG,169.2307692307692
EPI,58.28729281767955
MH,18.679330619629134
LH,186.13138686131384
PIN,
HY,100.61561127042178
PVZ,60.125980508675994
SO,934.5744680851064
ASO,16.666666666666664
NC,
PVH,91.4811229428848
PVHm,
PVHam,
PVHmm,
PVHpm,
PVHpml,
PVHpmm,
PVHp,
PVHap,
PVHmpd,
PVHpv,
PVa,65.66970091027311
PVi,57.45955662073099
ARH,-1.7837541163556414
PVR,110.40325313453063
ADP,142.63565891472868
AHA,
AVP,126.31578947368425
AVPV,119.30970149253737
DMH,152.65855221012177
DMHa,
DMHp,
DMHv,
MEPO,190.92409240924098
MPO,83.4326241134752
OV,36.66666666666666
PD,51.66666666666666
PS,218.88701517706573
PSCH,
PVp,59.44602272727274
PVpo,86.4805290227774
SBPV,71.52917505030184
SCH,7.453874538745378
SFO,-21.212121212121204
VMPO,175.66964285714286
VLPO,346.8208092485549
MEZ,55.15622842943257
AHN,39.57566572851267
AHNa,
AHNc,
AHNd,
AHNp,
MBO,93.2929467762873
LM,100.62893081761008
MM,67.78805719091673
MMme,48.01381692573404
MMl,82.96041308089507
MMm,20.4868154158215
MMp,38.77551020408168
MMd,108.28402366863908
SUM,77.95549374130738
SUMl,
SUMm,
TM,219.31993817619784
TMd,66.76829268292681
TMv,376.17554858934176
MPN,23.326133909287268
MPNc,
MPNl,
MPNm,
PMd,48.79120879120881
PMv,196.78770949720678
PVHd,44.66527196652722
PVHdp,
PVHf,
PVHlp,
PVHmpv,
VMH,-2.029583763329865
VMHa,
VMHc,
VMHdm,
VMHvl,
PH,64.32600661349935
LZ,175.11168756304946
LHA,149.74449057809
LPO,223.42419080068146
PST,110.52631578947367
PSTN,61.815561959654175
PeF,76.22857142857144
RCH,199.18699186991861
STN,147.16981132075477
TU,248.16878980891718
ZI,240.94687387061802
A13,
FF,346.21212121212136
ME,92.9991356957649
MB,38.51166638689722
MBsen,44.74650681751025
SCs,-10.969353764157223
SCop,-12.44682011563216
SCsg,-8.8549920760697
SCzo,-14.205640217200893
IC,85.09027229676398
ICc,144.18076764341725
ICd,66.33162942967093
ICe,66.78074548024698
NB,140.8333333333333
SAG,100.0
PBG,285.7142857142858
MEV,12.500000000000016
SCO,72.3404255319149
MBmot,31.526805630336124
SNr,378.3450704225351
VTA,15.942028985507244
PN,33.333333333333314
RR,97.73755656108598
MRN,35.322169235887756
MRNm,
MRNmg,
MRNp,
SCm,32.67232767232768
SCdg,2.781528490413144
SCdw,12.423124231242314
SCiw,33.415304498770425
SCig,46.87463624723546
SCig-a,
SCig-b,
SCig-c,
PAG,11.08906175583424
PRC,14.486803519061597
INC,37.769784172661886
ND,101.4414414414414
Su3,32.49097472924188
PRT,80.39533376539211
APN,171.50610583446405
MPT,-8.207343412527003
NOT,85.28481012658227
NPC,37.16255025847215
OP,19.676549865229116
PPT,102.75229357798162
RPF,0.9756097560975575
InCo,
CUN,75.84541062801934
RN,56.63924794359579
III,-9.915014164305958
MA3,-30.597014925373127
EW,-58.70786516853933
IV,46.15384615384614
Pa4,22.033898305084776
VTN,-59.74025974025974
AT,-8.571428571428562
LT,35.89743589743592
DT,22.22222222222225
MT,54.216867469879546
SNl,
MBsta,3.066439522998303
SNc,104.71698113207546
PPN,24.900793650793638
RAmb,-2.4620573355817954
IF,3.8181818181818046
IPN,28.666326009197725
IPR,131.71717171717174
IPC,7.492795389048999
IPA,-7.668711656441694
IPL,8.771929824561377
IPI,-63.354037267080756
IPDM,15.56603773584907
IPDL,-4.3478260869565215
IPRL,-5.405405405405371
RL,-29.90726429675423
CLI,53.00353356890457
DR,-26.59804983748646
HB,72.47236403464149
P,75.24297383358719
P-sen,232.9277649895867
NLL,379.4652406417112
NLLd,
NLLh,
NLLv,
PSV,752.2077922077921
PB,124.8277762469
KF,103.17124735729384
PBl,
PBlc,
PBld,
PBle,
PBls,
PBlv,
PBm,
PBme,
PBmm,
PBmv,
SOC,194.77434679334914
POR,180.4005722460658
SOCm,325.8823529411766
SOCl,226.76211453744492
P-mot,38.78923148990109
B,125.8426966292134
DTN,-27.499999999999993
LTN,
PDTg,-4.8192771084337425
PCG,40.8495434696308
PG,40.18671059857221
PRNc,48.06070826306914
PRNv,
SG,80.26315789473685
SSN,
SUT,76.06382978723403
TRN,15.493553160008469
V,156.8693693693693
P5,34.08450704225351
Acs5,93.75000000000007
PC5,283.8842975206611
I5,138.2352941176471
P-sat,38.70258383727323
CS,13.521215959468025
CSl,
CSm,
LC,226.41509433962256
LDT,-6.971153846153842
NI,19.775596072931286
PRNr,99.44465012958163
RPO,10.597014925373148
SLC,800.0000000000002
SLD,88.09523809523809
MY,70.36256101546603
MY-sen,113.83548797642172
AP,7.180385288966738
CN,438.22777619994326
CNlam,
CNspg,
DCO,871.9148936170212
VCO,329.65198863636374
DCN,-5.848434925864905
CU,10.9025270758123
GR,-28.09204218600192
ECU,115.72192513368982
NTB,123.28358208955225
NTS,7.310469314079427
NTSce,
NTSco,
NTSge,
NTSl,
NTSm,
SPVC,70.16491754122937
SPVI,271.3477851083883
SPVO,192.5233644859813
SPVOcdm,
SPVOmdmd,
SPVOmdmv,
SPVOrdm,
SPVOvl,
Pa5,-15.711252653927806
z,
MY-mot,23.70319679343047
VI,-18.0851063829787
ACVI,
VII,482.39700374531844
ACVII,-50.00000000000002
EV,
AMB,-3.4285714285714017
AMBd,-9.836065573770489
AMBv,11.320754716981128
DMX,1.0932475884244364
ECO,
GRN,-42.65225933202356
ICB,3299.999999999999
IO,10.898282694848085
IRN,-4.582770445806927
ISN,20.58823529411763
LIN,6.7137809187279105
LRN,232.55948926291347
LRNm,204.75907198096368
LRNp,1345.2380952380954
MARN,-39.96913580246913
MDRN,74.27320490367772
MDRNd,73.06947135344586
MDRNv,76.34716261325701
PARN,12.875281832205987
PAS,61.4678899082569
PGRN,20.216836734693874
PGRNd,-65.34839924670433
PGRNl,64.03085824493732
PHY,-30.10022631749112
NIS,
NR,-59.895833333333336
PRP,-28.128231644260598
PMR,
PPY,17.730496453900717
PPYd,
PPYs,
VNC,48.18313953488374
LAV,568.1818181818182
MV,34.29762835548605
SPIV,25.387870239774312
SUV,328.4153005464482
x,84.50704225352108
XII,-31.498951781970657
y,147.16981132075472
INV,
MY-sat,36.094224924012146
RM,31.993006993006993
RPA,57.16878402903814
RO,-11.917098445595839
CB,183.26184828387474
CBX,180.6353217574997
CBXmo,
CBXpu,
CBXgr,
VERM,131.25882965276224
LING,163.80597014925368
LINGmo,
LINGpu,
LINGgr,
CENT,52.32060566161951
CENT2,9.427851745232145
CENT2mo,
CENT2pu,
CENT2gr,
CENT3,88.4743706399758
CENT3mo,
CENT3pu,
CENT3gr,
